text,artist
"теченьем меренных орбит
и продавщица восковая
на всякий случай подана
мы спросим кофе с кюрассо
фортуны нашей колесо
и в ярлыках не слишком тверд
хозяйский глаз желтей червонца
и в крепкой чудится сигаре
в полоборота обернется
мы недовольны светом солнца
лакей невежлив и угрюм
мечтателей не оскорбит
и дразнит содависки форт
я на вращающийся стул
потом беседуя негромко
еще девиц не видно в баре
американца едкий ум
сияет стойка красным лаком
невозмутима как луна
бананов груда золотая
сначала нам слегка взгрустнется
влезаю в шляпе и соломкой
мешая лед внимаю гул
кто незнаком с буфетным знаком",Осип Мандельштам
"или снега не будут больше
иль потечет обратно
зимою покрывать ковыль
в своем блужданьи вековом
а ты славянская комета
сообщница чужого света
иль ворон заклюет орлов
в безумном подвиге стрелков
пристало опираться
рассыпалась чужим огнем
я не вижу смысла
габсбургов костыль",Осип Мандельштам
"остановить мне не дано
отпущено моей рукою
и мною ли оживлено
и непрерывно и одно
обуреваемое мною
бесшумное веретено
все одинаково темно
моею собственной рукою
не позднее октября
безостановочной волною
переливается оно
все в мире переплетено",Осип Мандельштам
"музы не хочу
и кубок мой тяжел и неглубок
и перед ней тоскуя трепещу
больной удав свиваясь и клубясь
осенний сумрак ржавое железо
достаточно лукавых отрицаний
железа визг и ветра темный стон
я не хочу души своей излучин
что весь соблазн и все богатства
я слушаю как узник без боязни
и падает внезапно утомясь
распутывать извилистый клубок
качается и тело опояшет
скрипит поет и разъедает плоть
я как змеей танцующей измучен
на жестких камнях пляшет
нет стройных слов для жалоб и признаний
и бесполезно накануне казни
к чему дышать
пред лезвием твоей тоски
видением и пеньем потрясен",Осип Мандельштам
"ощутима мной зима
я люблю её сначала
перед всем безлесным кругом
речек бающих без сна
как подарок запоздалый
неуверенный размах
даже ворон оробел
полукруглый лёд височный
но сильней всего непрочно
хороша она испугом
как начало грозных дел
выпуклых голубизна",Осип Мандельштам
"иль встретишь воз с поклажей из подушек
был возвращен в буддийскую
захочешь пить там есть вода такая
уж не скучаю по воде
чтоб нёбо стало небом чтобы губы
больше светотени
хорошая колючая сухая
а не стекляшка
библейской скатертью богатый
из курдского источника
когда обратно он на красных дрогах
покуда глаз хрусталик кравчей птицы
захочешь жить тогда глядишь с улыбкой
я возвратился нет читай насильно
сетчатка голодна
а перед тем я всетаки увидел
я больше не ребенок
проводишь взглядом барабан турецкий
на молоко с буддийской синевой
уж я люблю московские законы
и скажешь гусилебеди домой
не разбирайся щелкай милый кодак
и казнями там имениты дни
арменией зовут
не смей учить горбатого молчи
москве черемухи да телефоны
несется вскачь с гражданских похорон
в год тридцать первый от рожденья века
я говорю за всех с такою силой
потрескались как розовая глина
и самая правдивая вода
и двести дней провел в стране субботней",Осип Мандельштам
"воронежского сельхозинститута
написано под впечатлением распаханных опытных полей
ну здравствуй чернозём будь мужествен глазаст
вся рассыпаючись вся образуя хор
знать безокружное в окружности есть чтото
как на лемех приятен жирный пласт
я должен жить хотя я дважды умер
как степь лежит в апрельском провороте
не умолить её как в ноги ей ни бухай
вся в холках маленьких вся воздух и призор
гниющей флейтою настраживает слух
тесно связано со стихотворением
переуважена перечерна вся в холе
кларнетом утренним зазябливает ухо
тысячехолмие распаханной молвы
в дни ранней пахоты черна до синевы
комочки влажные моей земли и воли
черноречивое молчание в работе
и безоружная в ней зиждется работа
и всетаки земля проруха и обух",Осип Мандельштам
"так легко вооруженный
золотой ракеты струны
как аттический солдат
и опять война идет
средь аляповатых дач
облеченный в снег альпийский
и сирень бензином пахнет
англичанин вечноюный
слишком дряхлы струны лир
грозовых туч клочки
и мелькает локоть голый
из ковша спортсмэн веселый
неживая зелень чахнет
как волшебная приманка
укрепил и бросил в мир
с резвой девушкой вступил
кто смиривший грубый пыл
всё моторы и гудки
сам собой летает мяч
в поединок олимпийский
в своего врага влюбленный
он творит игры обряд
где шатается шарманка
ключевую воду пьет",Осип Мандельштам
"полусвет становится лучист
перед самой рамой шелковист
и стоят под ледяным стеклом
зеленеет плющ перед окном
если утро зимнее темно
и ветвями переплетены
тихие деревья под чехлом
выглядит как строгое панно
ото всех ветров защищены
ото всяких бед ограждены
то холодное твое окно
содрогается последний лист",Осип Мандельштам
"лишив меня морей разбега и разлёта
чего добились вы
и дав стопе упор насильственной земли
блестящего расчёта
губ шевелящихся отнять вы не могли",Осип Мандельштам
"как на лемех приятен жирный пласт
я должен жить хотя я дважды умер
а небо небо твой
как степь лежит в апрельском провороте
как он хорош как весел как скуласт
а город от воды ополоумел",Осип Мандельштам
"неумолимое находка для творца
не может быть другим никто его не судит
как землю гденибудь небесный камень будит
упал опальный стих не знающий отца",Осип Мандельштам
"я выстроил себе благополучья дом
тяжелым жерновом мучнистое зерно
священникам налог исправно будет послан
загробных радостей вещественный залог
и кресло прочное стоит на львиных лапах
я вынул три стены в преддверьи легкой клети
и царская его осматривала свита
где управляющий
и безошибочно я выбрал пальмы эти
краеугольными прямые как копье
в нем виноградники цветник и водоем
он весь из дерева и ни куска гранита
кто может описать сановника доход
готова ли гробница
составлен протокол на хлеб и полотно
приказано смолоть служанке низкорослой
бессмертны высокопоставленные лица
я жареных гусей вдыхаю сладкий запах
в хозяйстве письменный я слушаю отчет
чтоб воздух проникал в удобное жилье
в столовой на полу пес растянувшись лег",Осип Мандельштам
"мировая манила тебя молодящая злость
налетели на мертвого жирные карандаши
сочинитель щеглёнок студентик студент бубенец
прямизна нашей речи не только пугач для детей
часто пишется казнь а читается правильно песнь
конькобежец и первенец веком гонимый взашей
и за то что тебе суждена была чудная власть
на тебя надевали тиару юрода колпак
положили тебя никогда не судить и не клясть
меж тобой и страной ледяная рождается связь
как стрекозы садятся не чуя воды в камыши
москве заводил кавардак гоголёк
непонятенпонятен невнятен запутан легок
так лежи молодей и лежи бесконечно прямясь
может быть простота уязвимая смертью болезнь
на коленях держали для славных потомков листы
каково тебе там в пустоте в чистоте сироте
да не спросят тебя молодые грядущие те
собиратель пространства экзамены сдавший птенец
голубые глаза и горячая лобная кость
не бумажные дести а вести спасают людей
под морозную пыль образуемых вновь падежей
рисовали просили прощенья у каждой черты
как снежок на
бирюзовый учитель мучитель властитель дурак",Осип Мандельштам
"о путешественник веселый
ты улыбаешься кому
никто тебя не позовет
смиренным возлетишь лучом
по зеленеющим долинам
никто тебя не проведет
и рокотаньем соловьиным
тебе неведомые долы
не согревающим но милым
благословляешь почему
к повелевающим светилам
когда закутанный плащом",Осип Мандельштам
"нееры каждую ночь распаханный заново
неудобной как хребет осла
вилами трезубцами мотыгами плугами
и мне уж не хватает меня самого
воздух дрожит от сравнений
и в руке остается ощущение тяжести
я сам ошибся я сбился запутался в счете
любуясь на доски
заклепанные слаженные в переборки
спасибо за то что было
чтобы она отдохнула
из него нельзя выйти в него трудно войти
конь лежит в пыли и храпит в мыле
розовые сосны
забывая верхушками о корнях
земля гудит метафорой
воздух бывает темным как вода и все живое в нем плавает как рыба
человеческие губыкоторым больше нечего сказать
сохраняют форму последнего сказанного слова
разнообразные медные золотые и бронзовые лепешки
хрусталь в котором движутся колеса и шарахаются лошади
век пробуя их перегрызть оттиснул на них свои зубы
она отмечена среди подруг повязкой на лбу
не вифлеемским мирным плотником а другим
исцеляющей от беспамятства слишком сильного одуряющего запаха
воздух замешен также густо как земля
он вешает ее на пороге
звук еще звенит хотя причина звука исчезла
дольше живет среди других
дети играют в бабки позвонками умерших животных
то что я сейчас говорю говорю не я
с одинаковой почестью лежат в земле
им бы поскрипывать в бурю
когда их было не четыре
разрываются на части
сдувает с нее пыль
обновляемых в четыре смены
полная литая никем не поддерживаемая
или просто дух чобра растертого между ладоней
ни одно слово не лучше другого
влача через влажные рытвины
шорох пробегает по деревьям зеленой лаптой
сличит с притяженьем земного лона
плавниками расталкивая сферу
хотя кувшиннаполовину расплескалсяпока его несли домой
шероховатую поверхность морей
я дам тебе яблоко или
в разъяренном безлесном воздухе
и мореплаватель
будь то близость мужчины
так ребенок отвечает
под соленою пятою ветра устоит отвес пригнанный к пляшущей палубе
вот лес корабельный мачтовый
до самой верхушки свободные от мохнатой ноши
и больше уж ей не придется высекать искры из кремня
пышущего жаром иноходца
на всякое прикосновение отвечала да и нет
смолистых слез проступивших сквозь обшивку корабля
в броской упряжи густых от натуги птичьих стай
плотную упругую чуть нагретую
а вырыто из земли подобно зернам окаменелойпшеницы
одинокими пиниями
соперничая с храпящими любимцами ристалищ
по числу отталкиваний от земли
влажный чернозем
отцом путешествий другом морехода
и шумели под пресным ливнем
с чего начать
свой благородный груз
и они стояли на земле
хрупкое летоисчисление нашей эры подходит к концу
хрупкий прибор геометра
глядим на лес и говорим
трижды блажен кто введет в песнь имя
или запах шерсти сильного зверя
и растирает ее шерстью пока она не заблестит
эра звенела как шар золотой
и легкие двуколки
но крутой поворот его шеи
украшенная названьем песнь
нашедший подкову
а вдыхая запах
пиндарический отрывок
безуспешно предлагая небу выменять на щепотку соли
в необузданной жажде пространства
другие голову
однина монетах изображают льва
время срезает меня как монету
все трещит и качается
и лицо его точный слепок с голоса которыйпроизносит эти слова
на знаменитом горном кряже
еще сохраняет воспоминание о беге с разбросанными ногами
я не дам тебе яблоко
а по числу камней дороги",Осип Мандельштам
"вельможе ехать не годится
и место новое доходно
и с орденами тюк
как подобает мне на барке
я танцевал не зря
бедняк идет пешком
на двор с высокого балкона
надпись на камне династии
дрожали как тростник
я поплыву на юг
и захватив с собой подарки
большие как луна
бросали ордена
то что я сделал превосходно
по воздуху летает птица
от радости мои колени
изящный и отличный танец
дрянным сухим путем
и прямо в полы балахона
и это сделал я
и прочно для житья
и предвкушая счастья глянец
и почестей достиг
я избежал суровой пени
в присутствии царя",Осип Мандельштам
"отозвалося неминучей
гармонию высоких числ
не воплощает ли природа
но выпал снег и нагота
печальнейшее из созвучий
во всем однообразный смысл
и совершается свобода
деревьев траурною стала
в смиренномудрых высотах
напрасно вечером зияла
и белый черный золотой
небес златая пустота
и нету никакой отрады
и окончательной зимой
зажглись осенние
и нету горечи в мирах",Осип Мандельштам
"в юдоли дольней бытия
она участвует невольно
искуственная никнет роза
немногое на чем печать
моих пугливых вдохновений
и трепетных прикосновений
неизрекаемых часов
и ясно и вокруг нея
над нею небо безглагольно
в безветрии моих садов
привыкших только отмечать
над ней не тяготит угроза",Осип Мандельштам
"и как свою ее произнесет
чужих певцов блуждающие сны
свое родство и скучное соседство
я не слыхал рассказов
минуя внуков к правнукам уйдет
шотландии кровавая луна
и ветром развеваемые шарфы
зачем же мне мерещится поляна
мне чудится в зловещей тишине
я получил блаженное наследство
не пробовал старинного вина
мы презирать заведомо вольны
дружинников мелькают при луне
и не одно сокровище быть может
и снова скальд чужую песню сложит
и перекличка ворона и арфы",Осип Мандельштам
"эта слабогрудая речная волокита
клязьмы загнулась ресница
москвереке почтовым пахнет клеем
шуберта в раструбы рупоров
лягушиной кожи воздушных шаров
на которых носимся и несемся мы
яузе утка плывет
и широчайшие зеленые сады
вода на булавках и воздух нежнее
эти судоходные марки и открытки
оки вывернуто веко
москве есть светоговорильня
там где купальнибумагопрядильни
оттогото и на
москве ветерок
с гребешками отдыха культуры и воды
скучныенескучные как халва холмы",Осип Мандельштам
"безотчётного неба игра
я скажу это начерно шопотом
достигается потом и опытом
потому что ещё не пора
что счастливое небохранилище
раздвижной и прижизненный дом
забываем мы часто о том
и под временным небом чистилища",Осип Мандельштам
"чудный чиновник
и полюдски куролесит зверьё
командированный к тачке острожной
черномора пригубил питьё
и позвериному воет людьё
чудный чиновник без подорожной
в кислой корчме на пути к",Осип Мандельштам
"и призрачна моя свобода
как птиц полночных голоса
и тишину переплывает
расширенный пустеет взор
я вижу месяц бездыханный
твой мир болезненный и странный
и так же прост как небеса
я так же беден как природа
и небо мертвенней холста
я принимаю пустота
полночных птиц незвучный хор
слух чуткий парус напрягает",Осип Мандельштам
"хорошие песни в крови
и я за собой примечаю
у нашей святой молодёжи
колхозного бая качаю
и чтото такое пою
кулацкого пая пою
и баю борьбу объяви
на баюшкибаю похожи",Осип Мандельштам
"холодная весна
пасхальной глупостью украшенный миндаль
природа своего не узнаёт лица
и тени страшные
врангеле такой же виноватый
как был при
такой же кисленький кусающийся дым
стоят как пришлые и вызывает жалость
бесхлебный робкий
всё так же хороша рассеянная даль
деревья почками набухшие на малость
калитку стерегут не трогая кольца
на войлочной земле голодные крестьяне
колючки на земле на рубищах заплаты",Осип Мандельштам
"в черном омуте столицы
только там где твердь светла
черножелтый лоскут злится
исчезают пешеходы
и моторов колесницы
глухо плещутся торцы
столпникангел вознесен
словно в воздухе струится
и на площади как воды
желчь двуглавого орла
императорский виссон
в темной арке как пловцы",Осип Мандельштам
"я забыл ненужное я
о широкий ветер
неужели я настоящий
зашумит бумажной листвой
ты уйдешь в морские края
и так мало милых имен
и действительно смерть придет
он вернется совсем другой
и совсем не вернется или
неожиданный
и несозданный мир лелея
я блуждал в игрушечной чаще
он подымет облако пыли
и открыл лазоревый грот
и мгновенный ритм только случай
отчего душа так певуча",Осип Мандельштам
"и такая тишина
в темном небе круг чертит
тихо спорят в сердце ласковом
встала медная луна
отчего так мало музыки
умирающем моем
с догорающим лучом
наступающие сумерки
и над лесом вечереющим
и трепещущая ласточка
черный ветер шелестит
смутнодышащими листьями",Осип Мандельштам
"на ланитах нежные румяна
ты прошла сквозь облако тумана
как застыл тревожной жизни танец
и в глаза целует паутиной
говорит вершинами с вершиной
как на всем играет твой румянец
я брожу свободный и ненужный
угрожает спелыми плодами
как сквозит и в облаке тумана
светит день холодный и недужный
злая осень ворожит над нами
ярких дней сияющая рана",Осип Мандельштам
"пред которым как мальчик стою
стенобитную твердь я ловлю
провалилось в неё осветилось
и под каждым ударом тарана
осыпаются звёзды без глав
неоконченной вечности мгла
превратилось в тринадцать голов
всё изрублено светом рубцов
небо вечери в стену влюбилось
холодеет спина очи ноют
вот оно мое небо ночное
той же росписи новые раны",Осип Мандельштам
"чего ж тебе ещё
над книгой звонких глин над книжною землёй
над гнойной книгою над глиной дорогой
лазурь да глина глина да лазурь
как близорукий шах над перстнем бирюзовым
скорей глаза сощурь
которой мучимся как музыкой и словом",Осип Мандельштам
"лодка скользящая над
хрупкое тело живет
нету иного пути
не отнимай ее прочь
милую землю мою
если захочешь помочь
тонкие пальцы дрожат
тихою бездною вод
плыть к дорогим берегам
как через руку твою
руку приблизив к устам
как же иначе найти",Осип Мандельштам
"воронеж блажь
пусти меня отдай меня
ты выронишь меня или вернешь
воронеж ворон нож
уронишь ты меня иль проворонишь",Осип Мандельштам
"мы не будили спящих слуг
из полутемной залы вдруг
ты выскользнула в легкой шали
мы никому не помешали",Осип Мандельштам
"в аллее колокольчик медный
о справедливости людской
а там рабочая землянка
и с бесконечной челобитной
французский говор нежный взгляд
не зажигают фонарей
плетется на асфальте воз
и за решеткой заповедной
уехать хочется скорей
что делать в городе в июне
везя всклокоченное сено
пустеет понемногу сад
трещит и варится смола
на яхте на чухонской шхуне
ломовика судьбацыганка
до утренних румяных роз
самоубийца молодой
нева как вздувшаяся вена
обратно в степи привела
чернеет на скамье гранитной",Осип Мандельштам
