,title_of_poem,0
10,gdenochbrosaetjakorja,"Где ночь бросает якоря В глухих созвездьях Зодиака, Сухие листья октября, Глухие вскормленники мрака, Куда летите вы? Зачем От древа жизни вы отпали? Вам чужд и странен Вифлеем, И яслей вы не увидали.  Для вас потомства нет – увы! Бесполая владеет вами злоба, Бездетными сойдете вы В свои повапленные* гробы, И на пороге тишины, Среди беспамятства природы, Не вам, не вам обречены, А звездам вечные народы.  Осень 1920 (1917?) "
11,javzdragivajuotkholoda,"Я вздрагиваю от холода – Мне хочется онеметь! А в небе танцует золото – Приказывает мне петь.  Томись, музыкант встревоженный, Люби, вспоминай и плачь, И, с тусклой планеты брошенный, Подхватывай легкий мяч!  Так вот она – настоящая С таинственным миром связь! Какая тоска щемящая, Какая беда стряслась!  Что, если, вздрогнув неправильно, Мерцающая всегда, Своей булавкой заржавленной Достанет меня звезда?  1912, 1937  * Ранний вариант последней строфы:  Что, если, над модной лавкою, Мерцающая всегда, Мне в сердце длинной булавкою"
12,ya-skazhu-tebe-s-poslednej,"       Ma voix aigre et fausse...                      P. Verlaine* Я скажу тебе с последней Прямотой: Все лишь бредни – шерри-бренди,– Ангел мой. Там, где эллину сияла Красота, Мне из черных дыр зияла Срамота. Греки сбондили Елену По волнам, Ну, а мне – соленой пеной По губам. По губам меня помажет Пустота, Строгий кукиш мне покажет Нищета. Ой ли, так ли, дуй ли, вей ли – Все равно; Ангел Мэри, пей коктейли, Дуй вино. Я скажу тебе с последней Прямотой: Все лишь бредни – шерри-бренди,– Ангел мой. 2 марта 1931* Мой голос пронзительный и фальшивый... П. Верлен (фр.)"
13,skudnyjluchkholodnoj,"Скудный луч холодной мероюСеет свет в сыром лесу.Я печаль, как птицу серую,В сердце медленно несу.Что мне делать с птицей раненой?Твердь умолкла, умерла.С колокольни отуманеннойКто-то снял колокола.И стоит осиротелаяИ немая вышина,Как пустая башня белая,Где туман и тишина...Утро, нежностью бездонное,Полу-явь и полу-сон,Забытье неутоленное,Дум туманный перезвон...1911"
14,vlazurimesjatsnovyj,"В лазури месяц новый Ясен и высок. Радуют подковы Звонкий грунт дорог.  Глубоко вздохнул я – В небе голубом Словно зачерпнул я Серебряным ковшом!  Счастия тяжелый Я надел венец. В кузнице веселой Работает кузнец.  Радость бессвязна, Бездна не страшна. Однообразно – Звучно царство сна!  12 ноября 1911  В последнем варианте стихотворение названо «Кузнец», отличается последней строфой и датировкой:Круглое братствоОн для всех кует.Легкий месяц, здравствуй!Здравствуй, Новый год!Ноябрь 1911, 1922"
15,ne-iskushaj-chuzhih-narechij-no-postarajsya-ih-zabyt,"Не искушай чужих наречий, но постарайся их забыть –Bедь всё равно ты не сумеешь стекла зубами укусить!Bедь умирающее тело и мыслящий бессмертный ротВ последний раз перед разлукой чужое имя не спасёт.О, как мучительно дается чужого клёкота почет –За беззаконные восторги лихая плата стережёт.Что если Ариост и Тассо, обворожающие нас,Чудовища с лазурным мозгом и чешуёй из влажных глаз.И в наказанье за гордыню, неисправимый звуколюб,Получишь уксусную губку ты для изменнических губ. Май 1933, Старый Крым"
16,vechernezhnyj,"Вечер нежный. Сумрак важный. Гул за гулом. Вал за валом. И в лицо нам ветер влажный Бьет соленым покрывалом.  Все погасло. Все смешалось. Волны берегом хмелели. В нас вошла слепая радость – И сердца отяжелели.  Оглушил нас хаос темный, Одурманил воздух пьяный, Убаюкал хор огромный: Флейты, лютни и тимпаны... "
17,vspokojnykhprigorodakh,"В спокойных пригородах снег Сгребают дворники лопатами; Я с мужиками бородатыми Иду, прохожий человек.  Мелькают женщины в платках, И тявкают дворняжки шалые, И самоваров розы алые Горят в трактирах и домах. "
18,amerikanbareshchedevits,"Еще девиц не видно в баре, Лакей невежлив и угрюм; И в крепкой чудится сигаре Американца едкий ум.  Сияет стойка красным лаком, И дразнит сода-виски форт: Кто незнаком с буфетным знаком И в ярлыках не слишком тверд?  Бананов груда золотая На всякий случай подана, И продавщица восковая Невозмутима, как луна.  Сначала нам слегка взгрустнется, Мы спросим кофе с кюрассо. В пол-оборота обернется Фортуны нашей колесо!  Потом, беседуя негромко, Я на вращающийся стул Влезаю в шляпе и, соломкой Мешая лед, внимаю гул...  Хозяйский глаз желтей червонца Мечтателей не оскорбит... Мы недовольны светом солнца, Теченьем меренных орбит! "
19,polacy,"Поляки! Я не вижу смысла В безумном подвиге стрелков: Иль ворон заклюет орлов? Иль потечет обратно Висла?  Или снега не будут больше Зимою покрывать ковыль? Или о Габсбургов костыль Пристало опираться Польше?  А ты, славянская комета, В своем блужданьи вековом, Рассыпалась чужим огнем, Сообщница чужого света!  Октябрь 1914 "
20,besshumnoevereteno,"Бесшумное веретено Отпущено моей рукою. И – мною ли оживлено – Переливается оно Безостановочной волною – Веретено.  Все одинаково темно; Все в мире переплетено Моею собственной рукою; И, непрерывно и одно, Обуреваемое мною Остановить мне не дано – Веретено.  Не позднее 22 октября 1909"
21,zmejosennij,"Осенний сумрак – ржавое железо Скрипит, поет и разъедает плоть... Что весь соблазн и все богатства Креза Пред лезвием твоей тоски, Господь!  Я как змеей танцующей измучен И перед ней, тоскуя, трепещу, Я не хочу души своей излучин, И разума, и Музы не хочу.  Достаточно лукавых отрицаний Распутывать извилистый клубок; Нет стройных слов для жалоб и признаний, И кубок мой тяжел и неглубок.  К чему дышать? На жестких камнях пляшет Больной удав, свиваясь и клубясь; Качается, и тело опояшет, И падает, внезапно утомясь.  И бесполезно, накануне казни, Видением и пеньем потрясен, Я слушаю, как узник, без боязни Железа визг и ветра темный стон. "
22,kak-podarok-zapozdalyj,"Как подарок запоздалыйОщутима мной зима:Я люблю её сначалаНеуверенный размах.Хороша она испугом,Как начало грозных дел, –Перед всем безлесным кругомДаже ворон оробел.Но сильней всего непрочно –Выпуклых голубизна –Полукруглый лёд височныйРечек, бающих без сна...29–30 декабря 1936"
23,otryvki-iz-unichtozhennyh-stihov,"1В год тридцать первый от рожденья векаЯ возвратился, нет – читай: насильноБыл возвращен в буддийскую Москву.А перед тем я все-таки увиделБиблейской скатертью богатый АраратИ двести дней провел в стране субботней,Которую Арменией зовут.Захочешь пить – там есть вода такаяИз курдского источника Арзни,Хорошая, колючая, сухаяИ самая правдивая вода.  2Уж я люблю московские законы,Уж не скучаю по воде Арзни.В Москве черемухи да телефоны,И казнями там имениты дни.  3Захочешь жить, тогда глядишь с улыбкойНа молоко с буддийской синевой,Проводишь взглядом барабан турецкий,Когда обратно он на красных дрогахНесется вскачь с гражданских похорон,Иль встретишь воз с поклажей из подушекИ скажешь: «гуси-лебеди, домой!»Не разбирайся, щелкай, милый кодак,Покуда глаз – хрусталик кравчей птицы,А не стекляшка!Больше светотени –Еще, еще! Сетчатка голодна!  4Я больше не ребенок!Ты, могила,Не смей учить горбатого – молчи!Я говорю за всех с такою силой,Чтоб нёбо стало небом, чтобы губыПотрескались, как розовая глина.6 июня 1931"
24,chernozyom,"Переуважена, перечерна, вся в холе,Вся в холках маленьких, вся воздух и призор,Вся рассыпаючись, вся образуя хор, –Комочки влажные моей земли и воли...В дни ранней пахоты черна до синевы,И безоружная в ней зиждется работа –Тысячехолмие распаханной молвы:Знать, безокружное в окружности есть что-то.И все-таки, земля – проруха и обух.Не умолить её, как в ноги ей ни бухай:Гниющей флейтою настраживает слух,Кларнетом утренним зазябливает ухо...Как на лемех приятен жирный пласт,Как степь лежит в апрельском провороте!Ну, здравствуй, чернозём: будь мужествен, глазаст...Черноречивое молчание в работе.Апрель 1935 Примечания Тесно связано со стихотворением «Я должен жить, хотя я дважды умер...».Посвящено С. Б. Рудакову. Написано под впечатлением распаханных опытных полей Воронежского сельхозинститута. "
25,tennissred,"Средь аляповатых дач, Где шатается шарманка, Сам собой летает мяч, Как волшебная приманка.  Кто, смиривший грубый пыл, Облеченный в снег альпийский, С резвой девушкой вступил В поединок олимпийский?  Слишком дряхлы струны лир: Золотой ракеты струны Укрепил и бросил в мир Англичанин вечно-юный!  Он творит игры обряд, Так легко вооруженный, Как аттический солдат, В своего врага влюбленный.  Май. Грозовых туч клочки. Неживая зелень чахнет. Всё моторы и гудки,– И сирень бензином пахнет.  Ключевую воду пьет Из ковша спортсмэн веселый; И опять война идет, И мелькает локоть голый! "
26,esliutrozimnee,"Если утро зимнее темно, То – холодное твое окно Выглядит, как строгое панно:  Зеленеет плющ перед окном; И стоят под ледяным стеклом Тихие деревья под чехлом –  Ото всех ветров защищены, Ото всяких бед ограждены И ветвями переплетены.  Полусвет становится лучист. Перед самой рамой – шелковист – Содрогается последний лист. "
27,lishiv-menya-morej-razbega-i-razlyota,"Лишив меня морей, разбега и разлётаИ дав стопе упор насильственной земли,Чего добились вы? Блестящего расчёта:Губ шевелящихся отнять вы не могли.Май 1935"
28,ya_dolzhen_zhit,"Я должен жить, хотя я дважды умер, А город от воды ополоумел: Как он хорош, как весел, как скуласт, Как на лемех приятен жирный пласт, Как степь лежит в апрельском провороте, А небо, небо – твой Буонаротти... "
29,kak-zemlyu-gde-nibud-nebesnyj-kamen-budit,"Как землю где-нибудь небесный камень будит,Упал опальный стих, не знающий отца.Неумолимое – находка для творца –Не может быть другим, никто его не судит.20 января 1937"
30,egiptjaninjavystroil,"Я выстроил себе благополучья дом, Он весь из дерева, и ни куска гранита, И царская его осматривала свита, В нем виноградники, цветник и водоем.  Чтоб воздух проникал в удобное жилье, Я вынул три стены в преддверьи легкой клети, И безошибочно я выбрал пальмы эти Краеугольными – прямые, как копье.  Кто может описать сановника доход! Бессмертны высокопоставленные лица! (Где управляющий? Готова ли гробница?) В хозяйстве письменный я слушаю отчет.  Тяжелым жерновом мучнистое зерно Приказано смолоть служанке низкорослой, Священникам налог исправно будет послан, Составлен протокол на хлеб и полотно.  В столовой на полу пес, растянувшись, лег, И кресло прочное стоит на львиных лапах. Я жареных гусей вдыхаю сладкий запах – Загробных радостей вещественный залог. "
31,stihi-pamyati-andreya-belogo,"Голубые глаза и горячая лобная кость –Мировая манила тебя молодящая злость. И за то, что тебе суждена была чудная власть,Положили тебя никогда не судить и не клясть. На тебя надевали тиару – юрода колпак,Бирюзовый учитель, мучитель, властитель, дурак! Как снежок на Москве заводил кавардак гоголёк:Непонятен-понятен, невнятен, запутан, легок... Собиратель пространства, экзамены сдавший птенец,Сочинитель, щеглёнок, студентик, студент, бубенец... Конькобежец и первенец, веком гонимый взашейПод морозную пыль образуемых вновь падежей. Часто пишется казнь, а читается правильно – песнь,Может быть, простота – уязвимая смертью болезнь? Прямизна нашей речи не только пугач для детей –Не бумажные дести, а вести спасают людей. Как стрекозы садятся, не чуя воды, в камыши,Налетели на мертвого жирные карандаши. На коленях держали для славных потомков листы,Рисовали, просили прощенья у каждой черты. Меж тобой и страной ледяная рождается связь –Так лежи, молодей и лежи, бесконечно прямясь. Да не спросят тебя молодые, грядущие те,Каково тебе там в пустоте, в чистоте, сироте... 10-11 января 1934"
32,tyulybaeshsjakomu,"Ты улыбаешься кому, О, путешественник веселый? Тебе неведомые долы Благословляешь почему?  Никто тебя не проведет По зеленеющим долинам, И рокотаньем соловьиным Никто тебя не позовет,–  Когда, закутанный плащом, Не согревающим, но милым, К повелевающим светилам Смиренным возлетишь лучом. "
33,nashedshij-podkovu,"(Пиндарический отрывок) Глядим на лес и говорим:– Вот лес корабельный, мачтовый,Розовые сосны,До самой верхушки свободные от мохнатой ноши,Им бы поскрипывать в бурю,Одинокими пиниями,В разъяренном безлесном воздухе;Под соленою пятою ветра устоит отвес, пригнанный к пляшущей палубе,И мореплаватель,В необузданной жажде пространства,Влача через влажные рытвиныХрупкий прибор геометра,Сличит с притяженьем земного лонаШероховатую поверхность морей. А вдыхая запахСмолистых слез, проступивших сквозь обшивку корабля,Любуясь на доски,Заклепанные, слаженные в переборкиНе вифлеемским мирным плотником, а другим –Отцом путешествий, другом морехода, –Говорим:– И они стояли на земле,Неудобной, как хребет осла,Забывая верхушками о корняхНа знаменитом горном кряже,И шумели под пресным ливнем,Безуспешно предлагая  небу выменять на щепотку солиСвой благородный груз. С чего начать?Все трещит и качается.Воздух дрожит от сравнений.Ни одно слово не лучше другого,Земля гудит метафорой,И легкие двуколкиВ броской упряжи густых от натуги птичьих стайРазрываются на части,Соперничая с храпящими любимцами ристалищ. Трижды блажен, кто введет в песнь имя;Украшенная названьем песньДольше живет среди других –Она отмечена среди подруг повязкой на лбу,Исцеляющей от беспамятства, слишком сильного одуряющего запаха – Будь то близость мужчины,Или запах шерсти сильного зверя,Или просто дух чобра, растертого между ладоней.Воздух бывает темным, как вода. и все живое в нем плавает, как рыба,Плавниками расталкивая сферу,Плотную, упругую, чуть нагретую, –Хрусталь, в котором движутся колеса и шарахаются лошади,Влажный чернозем Нееры, каждую ночь распаханный зановоВилами, трезубцами, мотыгами, плугами.Воздух замешен также густо, как земля, –Из него нельзя выйти, в него трудно войти. Шорох пробегает по деревьям зеленой лаптой,Дети играют в бабки позвонками умерших животных.Хрупкое летоисчисление нашей эры подходит к концу. Спасибо за то, что было:Я сам ошибся, я сбился, запутался в счете.Эра звенела, как шар золотой,Полная, литая, никем не поддерживаемая,На всякое прикосновение отвечала «да» и «нет».Так ребенок отвечает:«Я дам тебе яблоко»– или: «Я не дам тебе яблоко».И лицо его – точный слепок с голоса, которыйпроизносит эти слова. Звук еще звенит, хотя причина звука исчезла.Конь лежит в пыли и храпит в мыле,Но крутой поворот его шеиЕще сохраняет воспоминание о беге с разбросанными ногами, –Когда их было не четыре,А по числу камней дороги,Обновляемых в четыре смены,По числу отталкиваний от землиПышущего жаром иноходца. ТакНашедший подковуСдувает с нее пыльИ растирает ее шерстью, пока она не заблестит;ТогдаОн вешает ее на пороге,Чтобы она отдохнула,И больше уж ей не придется высекать искры из кремня. Человеческие губы,которым больше нечего сказать,Сохраняют форму последнего сказанного слова,И в руке остается ощущение тяжести,Хотя кувшиннаполовину расплескался,пока его несли домой. То, что я сейчас говорю, говорю не я,А вырыто из земли, подобно зернам окаменелойпшеницы.Однина монетах изображают льва,Другие –голову.Разнообразные медные, золотые и бронзовые лепешкиС одинаковой почестью лежат в земле,Век, пробуя их перегрызть, оттиснул на них свои зубы. Время срезает меня, как монету.И мне уж не хватает меня самого... 1923"
34,egiptjaninja,"(Надпись на камне 18-19 династии)  Я избежал суровой пени И почестей достиг; От радости мои колени Дрожали, как тростник.  И прямо в полы балахона, Большие, как луна, На двор с высокого балкона Бросали ордена.  То, что я сделал, превосходно – И это сделал я! И место новое доходно И прочно для житья.  И, предвкушая счастья глянец, Я танцевал не зря Изящный и отличный танец В присутствии царя.  По воздуху летает птица. Бедняк идет пешком. Вельможе ехать не годится Дрянным сухим путем.  И, захватив с собой подарки И с орденами тюк, Как подобает мне, на барке Я поплыву на юг. "
35,vsmirennomudrykh,"В смиренномудрых высотах Зажглись осенние Плеяды. И нету никакой отрады, И нету горечи в мирах,  Во всем однообразный смысл И совершается свобода: Не воплощает ли природа Гармонию высоких числ?  Но выпал снег – и нагота Деревьев траурною стала; Напрасно вечером зияла Небес златая пустота;  И белый, черный, золотой – Печальнейшее из созвучий – Отозвалося неминучей И окончательной зимой. "
36,vbezvetriimoikh,"В безветрии моих садов Искуственная никнет роза; Над ней не тяготит угроза Неизрекаемых часов.  В юдоли дольней бытия Она участвует невольно; Над нею небо безглагольно И ясно,– и вокруг нея  Немногое, на чем печать Моих пугливых вдохновений И трепетных прикосновений, Привыкших только отмечать. "
37,janeslykhalrasskazov,"Я не слыхал рассказов Оссиана, Не пробовал старинного вина; Зачем же мне мерещится поляна, Шотландии кровавая луна?  И перекличка ворона и арфы Мне чудится в зловещей тишине, И ветром развеваемые шарфы Дружинников мелькают при луне!  Я получил блаженное наследство – Чужих певцов блуждающие сны; Свое родство и скучное соседство Мы презирать заведомо вольны.  И не одно сокровище, быть может, Минуя внуков, к правнукам уйдет, И снова скальд чужую песню сложит И как свою ее произнесет. "
38,tam-gde-kupal-ni-bumagopryadil-ni,"Там, где купальни-бумагопрядильниИ широчайшие зеленые сады,На реке Москве есть светоговорильняС гребешками отдыха, культуры и воды.Эта слабогрудая речная волокита,Скучные-нескучные, как халва, холмы,Эти судоходные марки и открытки,На которых носимся и несемся мы.У реки Оки вывернуто веко,Оттого-то и на Москве ветерок,У сетрицы Клязьмы загнулась ресница,Оттого на Яузе утка плывет.На Москве-реке почтовым пахнет клеем,Там играют Шуберта в раструбы рупоров.Вода на булавках и воздух нежнееЛягушиной кожи воздушных шаров.Май 1932"
39,ya-skazhu-eto-nacherno-shopotom,"Я скажу это начерно, шопотом,Потому что ещё не пора:Достигается потом и опытомБезотчётного неба игра.И под временным небом чистилищаЗабываем мы часто о том,Что счастливое небохранилище –Раздвижной и прижизненный дом.9 марта 1937"
40,i-po-zverinomu-voet-lyud,"И по-звериному воет людьё,И по-людски куролесит зверьё.Чудный чиновник* без подорожной,Командированный к тачке острожной,Он Черномора пригубил питьёВ кислой корчме на пути к Эрзеруму. Ноябрь 1930, Тифлис* «Чудный чиновник» – А. С. Пушкин."
41,slukhchutkijparus,"Слух чуткий парус напрягает, Расширенный пустеет взор, И тишину переплывает Полночных птиц незвучный хор.  Я так же беден, как природа, И так же прост, как небеса, И призрачна моя свобода, Как птиц полночных голоса.  Я вижу месяц бездыханный И небо мертвенней холста; Твой мир, болезненный и странный, Я принимаю, пустота! "
42,u-nashej-svyatoj-molodyozhi,"У нашей святой молодёжиХорошие песни в крови –На баюшки-баю похожиИ баю борьбу объяви.И я за собой примечаюИ что-то такое пою:Колхозного бая качаю,Кулацкого пая пою. Ноябрь 1933"
43,holodnaya-vesna-beshlebnyj-robkij-krym,"Холодная весна. Бесхлебный, робкий Крым,Как был при Врангеле, такой же виноватый.Колючки на земле, на рубищах заплаты,Такой же кисленький, кусающийся дым. Всё так же хороша рассеянная даль,Деревья, почками набухшие на малость,Стоят, как пришлые, и вызывает жалостьПасхальной глупостью украшенный миндаль. Природа своего не узнаёт лица,И тени страшные Украйны и Кубани –На войлочной земле голодные крестьянеКалитку стерегут, не трогая кольца... 1933, Москва"
44,dvortsovajaploshchadimperatorskij,"Императорский виссон И моторов колесницы,– В черном омуте столицы Столпник-ангел вознесен.  В темной арке, как пловцы, Исчезают пешеходы, И на площади, как воды, Глухо плещутся торцы.  Только там, где твердь светла, Черно-желтый лоскут злится, Словно в воздухе струится Желчь двуглавого орла. "
45,otchegodushatakpevucha,"Отчего душа так певуча, И так мало милых имен, И мгновенный ритм – только случай, Неожиданный Аквилон?  Он подымет облако пыли, Зашумит бумажной листвой И совсем не вернется – или Он вернется совсем другой.  О, широкий ветер Орфея, Ты уйдешь в морские края,– И, несозданный мир лелея, Я забыл ненужное «я».  Я блуждал в игрушечной чаще И открыл лазоревый грот... Неужели я настоящий И действительно смерть придет? "
46,smutnodyshashchimi,"Смутно-дышащими листьями Черный ветер шелестит, И трепещущая ласточка В темном небе круг чертит.  Тихо спорят в сердце ласковом Умирающем моем Наступающие сумерки С догорающим лучом.  И над лесом вечереющим Встала медная луна; Отчего так мало музыки И такая тишина? "
47,typroshlaskvoz,"Ты прошла сквозь облако тумана. На ланитах нежные румяна.  Светит день холодный и недужный. Я брожу свободный и ненужный...  Злая осень ворожит над нами, Угрожает спелыми плодами,  Говорит вершинами с вершиной И в глаза целует паутиной.  Как застыл тревожной жизни танец! Как на всем играет твой румянец!  Как сквозит и в облаке тумана Ярких дней сияющая рана! "
